common_species_name,genus,species,scientific_name,classification,moisture,Specific_gravity,modulus_of_rupture,modulus_of_elasticity,work_to_maximum_load,impact_bending,compression_parallel_to_grain,compression_perpendicular_to_grain,shear_parallel_to_grain,tension_perpendicular_to_grain,strength
"Cedar, Incense",Calocedrus,decurrens,Calocedrus decurrens,Softwood,12%,0.37,8000,1.04,5.4,17,5200,590,880,270,470
"Cedar, Northern White",Thuja,occidentalis,Thuja occidentalis,Softwood,Green,0.29,4200,0.64,5.7,15,1990,230,620,240,230
"Cedar, Northern White",Thuja,occidentalis,Thuja occidentalis,Softwood,12%,0.31,6500,0.8,4.8,12,3960,310,850,240,320
"Cedar, Port-Orford",Chamaecyparis,lawsoniana,Chamaecyparis lawsoniana,Softwood,Green,0.39,6600,1.3,7.4,21,3140,300,840,180,380
"Cedar, Port-Orford",Chamaecyparis,lawsoniana,Chamaecyparis lawsoniana,Softwood,12%,0.43,12700,1.7,9.1,28,6250,720,1370,400,630
"Cedar, Western Red Cedar",Thuja,plicata,Thuja plicata,Softwood,Green,0.31,5200,0.94,5,17,2770,240,770,230,260
"Cedar, Western Red Cedar",Thuja,plicata,Thuja plicata,Softwood,12%,0.32,7500,1.11,5.8,17,4560,460,990,220,350
"Cedar, Yellow",Cupressus,nootkatensis,Cupressus nootkatensis,Softwood,Green,0.42,6400,1.14,9.2,27,3050,350,840,330,440
"Cedar, Yellow",Cupressus,nootkatensis,Cupressus nootkatensis,Softwood,12%,0.44,11100,1.42,10.4,29,6310,620,1130,360,580
"Douglas-Fir, Coast",Pseudotsuga,menziesii,Pseudotsuga menziesii,Softwood,Green,0.45,7700,1.56,7.6,26,3780,380,900,300,500
"Douglas-Fir, Coast",Pseudotsuga,menziesii,Pseudotsuga menziesii,Softwood,12%,0.48,12400,1.95,9.9,31,7230,800,1130,340,710
"Douglas-Fir, Interior West",Pseudotsuga,menziesii,Pseudotsuga menziesii,Softwood,Green,0.46,7700,1.51,7.2,26,3870,420,940,290,510
"Douglas-Fir, Interior West",Pseudotsuga,menziesii,Pseudotsuga menziesii,Softwood,12%,0.5,12600,1.83,10.6,32,7430,760,1290,350,660
"Douglas-Fir, Interior North",Pseudotsuga,menziesii,Pseudotsuga menziesii,Softwood,Green,0.45,7400,1.41,8.1,22,3470,360,950,340,420
"Douglas-Fir, Interior North",Pseudotsuga,menziesii,Pseudotsuga menziesii,Softwood,12%,0.48,13100,1.79,10.5,26,6900,770,1400,390,600
"Douglas-Fir, Interior South",Pseudotsuga,menziesii,Pseudotsuga menziesii,Softwood,Green,0.43,6800,1.16,8,15,3110,340,950,250,360
"Douglas-Fir, Interior South",Pseudotsuga,menziesii,Pseudotsuga menziesii,Softwood,12%,0.46,11900,1.49,9,20,6230,740,1510,330,510
"Fir, Balsam",Abies,balsamea,Abies balsamea,Softwood,Green,0.33,5500,1.25,4.7,16,2630,190,660,180,290
"Fir, Balsam",Abies,balsamea,Abies balsamea,Softwood,12%,0.35,9200,1.45,5.1,20,5280,400,940,180,380
"Fir, California Red",Abies,magnifica,Abies magnifica,Softwood,Green,0.36,5800,1.17,6.4,21,2760,330,770,380,360
"Fir, California Red",Abies,magnifica,Abies magnifica,Softwood,12%,0.38,10500,1.5,8.9,24,5460,610,1040,390,500
"Fir, Grand",Abies,grandis,Abies grandis,Softwood,Green,0.35,5800,1.25,5.6,22,2940,270,740,240,360
"Fir, Grand",Abies,grandis,Abies grandis,Softwood,12%,0.37,8900,1.57,7.5,28,5290,500,900,240,490
"Fir, Noble",Abies,procera,Abies procera,Softwood,Green,0.37,6200,1.38,6,19,3010,270,800,230,290
"Fir, Noble",Abies,procera,Abies procera,Softwood,12%,0.39,10700,1.72,8.8,23,6100,520,1050,220,410
"Fir, Pacific Silver",Abies,amabilis,Abies amabilis,Softwood,Green,0.4,6400,1.42,6,21,3140,220,750,240,310
"Fir, Pacific Silver",Abies,amabilis,Abies amabilis,Softwood,12%,0.43,11000,1.76,9.3,24,6410,450,1220,,430
"Fir, Subalpine",Abies,lasiocarpa,Abies lasiocarpa,Softwood,Green,0.31,4900,1.05,,,2300,190,700,,260
"Fir, Subalpine",Abies,lasiocarpa,Abies lasiocarpa,Softwood,12%,0.32,8600,1.29,,,4860,390,1070,,350
"Fir, White",Abies,concolor,Abies concolor,Softwood,Green,0.37,5900,1.16,5.6,22,2900,280,760,300,340
"Fir, White",Abies,concolor,Abies concolor,Softwood,12%,0.39,9800,1.5,7.2,20,5800,530,1100,300,480
"Hemlock, Eastern",Tsuga,canadensis,Tsuga canadensis,Softwood,Green,0.38,6400,1.07,6.7,21,3080,360,850,230,400
"Hemlock, Eastern",Tsuga,canadensis,Tsuga canadensis,Softwood,12%,0.4,8900,1.2,6.8,21,5410,650,1060,,500
"Hemlock, Mountain",Tsuga,mertensiana,Tsuga mertensiana,Softwood,Green,0.42,6300,1.04,11,32,2880,370,930,330,470
"Hemlock, Mountain",Tsuga,mertensiana,Tsuga mertensiana,Softwood,12%,0.45,11500,1.33,10.4,32,6440,860,1540,,680
"Hemlock, Western",Tsuga,heterophylla,Tsuga heterophylla,Softwood,Green,0.42,6600,1.31,6.9,22,3360,280,860,290,410
